,datetime,link,lanes,limit,length,bump,camera,CONV,KINDER,TRAVEL,SCHOOL,BROKER,label
330,2020-01-11 12:30,1240021901,1,3,362.2226,0,0,1,0,0,0,0,0
331,2020-01-11 12:35,1220052000,0,3,74.8541,0,0,0,0,0,0,0,0
332,2020-01-11 12:40,1160083000,1,3,355.5881,1,0,1,1,1,0,1,0
333,2020-01-11 12:55,1030009502,1,2,144.3649,0,0,0,0,0,0,0,0
335,2020-01-11 13:15,1080003902,1,3,71.5323,0,0,0,0,0,0,0,0
336,2020-01-11 13:35,1200004400,3,1,352.4784,1,0,1,0,1,0,1,0
340,2020-01-11 15:15,1150015400,1,3,367.8557,0,0,1,1,0,1,1,0
342,2020-01-11 15:25,1240034500,0,3,285.4463,1,0,0,0,0,1,1,0
344,2020-01-11 15:50,1220029301,3,1,191.1483,0,0,1,0,1,0,1,0
345,2020-01-11 17:00,1100000301,3,1,112.3397,0,0,1,0,0,0,1,0
346,2020-01-11 17:10,1100010400,1,3,502.5999,0,1,1,1,0,1,1,0
347,2020-01-11 17:45,1120005102,2,1,260.1467,0,0,0,0,0,0,0,0
348,2020-01-11 17:50,1160016704,1,2,253.1307,0,0,1,1,1,0,1,0
349,2020-01-11 17:55,1180068200,0,1,378.5977,1,0,1,1,1,0,1,0
350,2020-01-11 18:35,1210012000,0,3,1266.1378,0,0,1,1,1,0,1,0
351,2020-01-11 19:25,1100039400,0,3,139.8989,0,1,1,0,1,1,0,0
353,2020-01-11 19:30,1190003903,0,3,374.7588,0,1,1,1,0,0,1,0
356,2020-01-12 9:05,1160001103,0,5,195.6622,0,0,0,0,0,0,0,0
357,2020-01-12 10:05,1060019701,0,3,285.8566,0,0,0,0,1,1,1,0
358,2020-01-12 10:20,1070076600,3,1,210.6981,0,0,1,1,1,0,1,0
361,2020-01-12 10:25,1040000601,2,5,76.918,0,0,0,0,0,0,0,0
363,2020-01-12 10:45,1220083600,0,3,212.6833,1,0,1,0,1,0,0,0
363,2020-01-12 10:45,1220083600,0,3,212.6833,1,0,1,0,1,0,0,0
365,2020-01-12 10:50,1180030000,3,1,143.5595,0,0,1,0,0,0,1,0
366,2020-01-12 11:05,1220032101,3,1,265.5267,0,0,1,0,1,0,1,0
367,2020-01-12 11:10,1010015503,1,1,228.6631,0,0,1,0,1,0,0,0
368,2020-01-12 11:15,1080003109,1,3,37.9045,0,1,0,0,0,0,0,0
369,2020-01-12 11:25,1180018704,1,1,240.514,0,0,1,0,0,0,1,0
370,2020-01-12 11:30,1100022900,1,3,229.7025,0,0,0,1,0,1,0,0
371,2020-01-12 12:00,1240008002,0,0,119.6228,1,0,0,1,0,0,1,0
372,2020-01-12 12:35,1180120300,1,1,98.0563,0,0,0,0,1,0,0,0
373,2020-01-12 12:45,1060033200,0,3,146.3448,0,0,1,1,1,0,0,0
374,2020-01-12 13:55,1000043900,0,3,270.1525,1,0,0,0,1,0,0,0
375,2020-01-12 14:05,1170003005,2,1,248.7469,1,0,1,0,1,0,1,0
377,2020-01-12 14:25,1160029600,1,3,289.0714,0,0,1,1,0,0,0,0
378,2020-01-12 14:45,1120035600,0,3,280.5128,0,0,1,1,0,1,0,0
379,2020-01-12 14:55,1030051300,0,2,69.6933,0,0,1,0,0,0,1,0
381,2020-01-12 15:00,1150049600,0,0,132.4751,0,0,0,0,0,0,0,0
383,2020-01-12 15:25,1150424700,0,3,81.5768,0,0,0,0,0,0,0,0
385,2020-01-12 15:35,1230069900,0,0,180.8767,1,0,1,1,0,0,1,0
386,2020-01-12 16:00,1030046600,0,3,258.3551,0,0,1,0,1,0,1,0
387,2020-01-12 16:15,1070046700,0,1,168.9208,1,0,0,0,1,0,0,0
387,2020-01-12 16:15,1070046700,0,1,168.9208,1,0,0,0,1,0,0,0
391,2020-01-12 16:30,1220030701,2,1,128.9476,0,0,1,0,1,0,1,0
392,2020-01-12 17:40,1130034200,0,3,188.9577,0,0,1,0,1,0,1,0
395,2020-01-12 18:20,1050019602,1,1,64.1439,0,0,0,0,0,0,0,0
396,2020-01-12 18:35,1060033800,0,3,522.3475,0,0,1,1,1,1,1,0
398,2020-01-12 21:25,1150085000,0,3,54.0303,1,1,1,0,0,0,1,0
399,2020-01-12 21:55,1120006308,0,0,83.2671,0,0,0,0,1,0,0,0
401,2020-01-13 7:30,1050011903,1,1,411.2357,0,0,1,0,0,0,1,0
401,2020-01-13 7:30,1050011903,1,1,411.2357,0,0,1,0,0,0,1,0
404,2020-01-13 7:50,1180018901,3,1,289.4554,0,1,1,0,1,0,0,0
406,2020-01-13 7:55,1020021002,2,1,323.7755,0,0,1,0,1,0,1,0
408,2020-01-13 8:20,1160014402,0,3,223.7069,1,0,0,1,1,0,0,0
410,2020-01-13 9:30,1040013500,3,1,339.2252,0,1,1,0,1,0,1,0
411,2020-01-13 9:35,1220065900,0,3,166.5911,0,1,1,0,1,0,1,0
412,2020-01-13 9:45,1100032000,3,1,264.149,0,1,1,0,0,0,1,0
413,2020-01-13 9:55,1230438901,1,0,136.1784789,1,0,0,0,1,0,0,0
416,2020-01-13 10:20,1130028003,2,1,61.0477,0,0,0,0,0,0,0,0
419,2020-01-13 10:45,1150077200,0,3,92.3069,1,1,1,0,0,0,1,0
419,2020-01-13 10:45,1150077200,0,3,92.3069,1,1,1,0,0,0,1,0
423,2020-01-13 11:00,1110019700,0,3,91.6495,0,0,1,0,0,0,1,0
425,2020-01-13 11:05,1100081000,0,3,616.9457,0,0,1,1,0,1,0,0
428,2020-01-13 11:55,1120005903,0,2,111.7631,0,0,0,0,0,0,0,0
